C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/11,04:40:00,0000000422617147,,0000000422617145
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 08:30:00",1381,0,0,"2024/06/10 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 09:00:00",1398,0,0,"2024/06/10 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 09:30:00",1385,0,0,"2024/06/10 09:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 10:00:00",1358,0,0,"2024/06/10 10:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 10:30:00",1328,0,0,"2024/06/10 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 11:00:00",1294,0,0,"2024/06/10 11:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 11:30:00",1261,0,0,"2024/06/10 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 12:00:00",1261,0,0,"2024/06/10 12:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 12:30:00",1253,0,0,"2024/06/10 12:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 13:00:00",1246,0,0,"2024/06/10 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 13:30:00",1234,0,0,"2024/06/10 13:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 14:00:00",1237,0,0,"2024/06/10 14:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 14:30:00",1252,0,0,"2024/06/10 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 15:00:00",1270,0,0,"2024/06/10 15:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 15:30:00",1302,0,0,"2024/06/10 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 16:00:00",1348,0,0,"2024/06/10 16:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 16:30:00",1406,0,0,"2024/06/10 16:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 17:00:00",1490,0,0,"2024/06/10 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 17:30:00",1534,0,0,"2024/06/10 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 18:00:00",1575,0,0,"2024/06/10 18:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 18:30:00",1562,0,0,"2024/06/10 18:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 19:00:00",1549,0,0,"2024/06/10 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 19:30:00",1529,0,0,"2024/06/10 19:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 20:00:00",1512,0,0,"2024/06/10 20:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 20:30:00",1491,0,0,"2024/06/10 20:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 21:00:00",1455,0,0,"2024/06/10 21:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 21:30:00",1427,0,0,"2024/06/10 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 22:00:00",1391,0,0,"2024/06/10 22:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 22:30:00",1351,0,0,"2024/06/10 22:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 23:00:00",1291,0,0,"2024/06/10 23:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 23:30:00",1245,0,0,"2024/06/10 23:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/11 00:00:00",1230,0,0,"2024/06/11 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/11 00:30:00",1217,0,0,"2024/06/11 00:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/11 01:00:00",1214,0,0,"2024/06/11 01:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/11 01:30:00",1201,0,0,"2024/06/11 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/11 02:00:00",1190,0,0,"2024/06/11 02:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/11 02:30:00",1184,0,0,"2024/06/11 02:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/11 03:00:00",1185,0,0,"2024/06/11 03:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/11 03:30:00",1188,0,0,"2024/06/11 03:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/11 04:00:00",1191,0,0,"2024/06/11 04:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2024/06/10 04:30:00",4382,0,0,"2024/06/10 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2024/06/10 05:00:00",4412,0,0,"2024/06/10 05:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2024/06/10 05:30:00",4522,0,0,"2024/06/10 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2024/06/10 06:00:00",4640,0,0,"2024/06/10 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2024/06/10 06:30:00",4842,0,0,"2024/06/10 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2024/06/10 07:00:00",5064,0,0,"2024/06/10 07:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,"2024/06/10 07:30:00",5287,0,0,"2024/06/10 07:30:01"
